Date	Polygon	Observed Devices
2020-05-23	OTR Green acres	8
2020-05-24	OTR Green acres	10
2020-05-25	OTR Green acres	4
2020-05-26	OTR Green acres	10
2020-05-27	OTR Green acres	7
2020-05-28	OTR Green acres	10
2020-05-29	OTR Green acres	18
2020-05-30	OTR Green acres	15
2020-05-31	OTR Green acres	12
2020-06-01	OTR Green acres	8
2020-06-02	OTR Green acres	5
2020-06-03	OTR Green acres	15
2020-06-04	OTR Green acres	12
2020-06-05	OTR Green acres	7
2020-06-06	OTR Green acres	10
2020-06-07	OTR Green acres	4
2020-06-08	OTR Green acres	5
2020-06-09	OTR Green acres	11
2020-06-10	OTR Green acres	7
2020-06-11	OTR Green acres	9
2020-06-12	OTR Green acres	10
2020-06-13	OTR Green acres	11
2020-06-14	OTR Green acres	9
2020-06-15	OTR Green acres	10
2020-06-16	OTR Green acres	8
2020-06-17	OTR Green acres	5
2020-06-18	OTR Green acres	18
2020-06-19	OTR Green acres	12
2020-06-20	OTR Green acres	8
2020-06-21	OTR Green acres	15
2020-06-22	OTR Green acres	7
2020-06-23	OTR Green acres	2
2020-06-24	OTR Green acres	10
2020-06-25	OTR Green acres	8
2020-06-26	OTR Green acres	14
2020-06-27	OTR Green acres	11
2020-06-28	OTR Green acres	9
2020-06-29	OTR Green acres	6
2020-06-30	OTR Green acres	15
2020-07-01	OTR Green acres	14
2020-07-02	OTR Green acres	17
2020-07-03	OTR Green acres	12
2020-07-04	OTR Green acres	10
2020-07-05	OTR Green acres	12
2020-07-06	OTR Green acres	4
2020-07-07	OTR Green acres	9
2020-07-08	OTR Green acres	13
2020-07-09	OTR Green acres	8
2020-07-10	OTR Green acres	12
2020-07-11	OTR Green acres	12
2020-07-12	OTR Green acres	11
2020-07-13	OTR Green acres	4
2020-07-14	OTR Green acres	10
2020-07-15	OTR Green acres	13
2020-07-16	OTR Green acres	11
2020-07-17	OTR Green acres	24
2020-07-18	OTR Green acres	23
2020-07-19	OTR Green acres	10
2020-07-20	OTR Green acres	12
2020-07-21	OTR Green acres	7
2020-07-22	OTR Green acres	16
2020-07-23	OTR Green acres	6
2020-07-24	OTR Green acres	16
2020-07-25	OTR Green acres	15
2020-07-26	OTR Green acres	10
2020-07-27	OTR Green acres	11
2020-07-28	OTR Green acres	11
2020-07-29	OTR Green acres	10
2020-07-30	OTR Green acres	12
2020-07-31	OTR Green acres	12
2020-08-01	OTR Green acres	21
2020-08-02	OTR Green acres	8
2020-08-03	OTR Green acres	16
2020-08-04	OTR Green acres	13
2020-08-05	OTR Green acres	5
2020-08-06	OTR Green acres	10
2020-08-07	OTR Green acres	16
2020-08-08	OTR Green acres	14
2020-08-09	OTR Green acres	10
2020-08-10	OTR Green acres	10
2020-08-11	OTR Green acres	5
2020-08-12	OTR Green acres	16
2020-08-13	OTR Green acres	11
2020-08-14	OTR Green acres	17
2020-08-15	OTR Green acres	15
2020-08-16	OTR Green acres	16
2020-08-17	OTR Green acres	9
2020-08-18	OTR Green acres	11
2020-08-19	OTR Green acres	8
2020-08-20	OTR Green acres	9
2020-08-21	OTR Green acres	16
2020-08-22	OTR Green acres	19
2020-08-23	OTR Green acres	3
