Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
Stirling Hotel SA	367924dd0df34f90013bb80460b7f046d5af1289	-35.041453972947934	138.96735806301615	AUS	40102100806		Mount Barker DC	Mount Barker Region	South Australia		5252			14.334483838292602	-35.04131197294794	138.96801106239036	AUS	40102100808		Mount Barker DC	Mount Barker Region	South Australia		5252			14.369324011322853
Stirling Hotel SA	ddfd17664426d0e8387ef8297c93e0148376b6d5	-35.10175911476741	138.79966002262682	AUS	40102100501		Mount Barker DC	Hahndorf - Echunga	South Australia		5153			8.041254874905096	-35.101964114767405	138.79784402182966	AUS	40102100501		Mount Barker DC	Hahndorf - Echunga	South Australia		5153			7.9941595205809435
Stirling Hotel SA	73aa84aed4f0dc3d470278becda2fd535b3409b5	-35.01107588942296	138.61061889832928	AUS	40303106717		Mitcham C	Blackwood	South Australia		5051			6.084271134496565	-35.011083889422956	138.6106038983639	AUS	40303106717		Mitcham C	Blackwood	South Australia		5051			6.085147052493215
Stirling Hotel SA	e456780eba782d6a71c797ab81005059ed0ccfed	-35.07028866138464	138.71290220119	AUS	40102100444		Adelaide Hills DC	Aldgate - Stirling	South Australia		5153			4.406197841452583	-35.07029566138464	138.71291020121575	AUS	40102100444		Adelaide Hills DC	Aldgate - Stirling	South Australia		5153			4.406652091817244
Stirling Hotel SA	92b217c81a239f4e8a95b700b779eb11398dab79	-35.00938725476673	138.76955651526234	AUS	40102100447		Adelaide Hills DC	Aldgate - Stirling	South Australia		5155			2.933679572197054	-35.00937825476673	138.7695595152996	AUS	40102100447		Adelaide Hills DC	Aldgate - Stirling	South Australia		5155			2.933810264858775
Stirling Hotel SA	984c7ac792f51e3720035a2900bcc74be8045b07	-35.08297586333275	138.86640727812443	AUS	40102100721		Mount Barker DC	Mount Barker	South Australia		5251			9.928338430505931	-35.082979863332746	138.86645227812107	AUS	40102100721		Mount Barker DC	Mount Barker	South Australia		5251			9.930644272635488
Stirling Hotel SA	d73a6d18789ca98995e5263073a5879ffc5cd2e3	-34.95287312074718	138.59823359845856	AUS	40107102324		Unley C	Goodwood - Millswood	South Australia		5034			7.736463216982522	-34.95285312074718	138.59822359833225	AUS	40107102324		Unley C	Goodwood - Millswood	South Australia		5034			7.7376267700688475
Stirling Hotel SA	27665ca4653f7c7402297719c9ae150402458450	-34.987881017222264	138.60640731380175	AUS	40303106908		Mitcham C	Mitcham (SA)	South Australia		5062			6.44930800115436	-34.748074017222265	138.66548558079745	AUS	40202103017		Playford C	Elizabeth	South Australia		5112			18.135996143179405
Stirling Hotel SA	829b0c5443645309000d8d2166396e510ab2479a	-35.00468163029502	138.56504256065114	AUS	40302106120		Marion C	Mitchell Park	South Australia		5043			8.660421803594659	-35.004671630295014	138.56505956064888	AUS	40302106120		Marion C	Mitchell Park	South Australia		5043			8.659470568266917
Stirling Hotel SA	276ab48ba6b73891c49d8e68e89f1e08cf6a713f	-34.86677693541765	138.7031320857435	AUS	40104101421		Campbelltown C SA	Athelstone	South Australia		5076			9.7159271045301	-34.84684293541765	138.55976718675802	AUS	40402110250		Port Adelaide Enfield C	The Parks	South Australia		5013			14.237231734001073
Stirling Hotel SA	3d77f6cda4b0ddbe5112f4057715934a07d643d0	-35.12370070251352	138.4937326882301	AUS	40304107316		Onkaparinga C	Christie Downs	South Australia		5164			15.050534592904514	-35.12367170251351	138.49382868823696	AUS	40304107316		Onkaparinga C	Christie Downs	South Australia		5164			15.04487528596347
Stirling Hotel SA	2b09ba0917eec91f9c8633015bd5f4ad67211b80	-35.02481476765839	138.79002445591502	AUS	40102100504		Mount Barker DC	Hahndorf - Echunga	South Australia		5245			4.274487276455834	-35.01649676765839	138.72861146777055	AUS	40102100424		Adelaide Hills DC	Aldgate - Stirling	South Australia		5154			0.9095042205639448
Stirling Hotel SA	1891214c053e070e77f74e8568003ef586dd0c0e	-35.08987982493552	138.88756069097093	AUS	40102100752		Mount Barker DC	Mount Barker	South Australia		5251			11.198978808007382	-35.090010824935526	138.8875736914652	AUS	40102100752		Mount Barker DC	Mount Barker	South Australia		5251			11.204260621322618
Stirling Hotel SA	3fb8a398e6fa626892db92b74c96e572305af428	-38.36424166684813	142.5107536665671	AUS	21704147935		Warrnambool C	Warrnambool - North	Victoria		3280			313.3066174784892	-38.36478466684813	142.51041366519925	AUS	21704147935		Warrnambool C	Warrnambool - North	Victoria		3280			313.321293401118
Stirling Hotel SA	4625469d5676e5ef03abf35e021bb1c7d3d9c1db	-34.8656144739882	138.52878541295394	AUS	40401109715		Charles Sturt C	Woodville - Cheltenham	South Australia		5014			14.499564239286592	-34.865619473988204	138.52877541295146	AUS	40401109715		Charles Sturt C	Woodville - Cheltenham	South Australia		5014			14.499750546525034
Stirling Hotel SA	bf57297f7161a6e2bcf65e52b0ae5f2e97484101	-35.085339743955394	138.53668901702468	AUS	40302106315		Marion C	Sheidow Park - Trott Park	South Australia		5158			11.61273744206338	-35.08535474395539	138.53668001709678	AUS	40302106315		Marion C	Sheidow Park - Trott Park	South Australia		5158			11.613672840833742
